m,alpha,empirical_rate
26,0.077084843235,0.213576136033
26,0.080168236965,0.205867651709
26,0.083251630694,0.198159167385
26,0.086335024423,0.190450683062
26,0.089418418153,0.182742198738
26,0.092501811882,0.175596891426
26,0.095585205612,0.168659255535
26,0.098668599341,0.161721619644
26,0.101751993070,0.154783983753
26,0.104835386800,0.147846347862
26,0.107918780529,0.140908711971
26,0.111002174259,0.133971076079
26,0.114085567988,0.127033440188
26,0.117168961717,0.120216023435
26,0.120252355447,0.114049235976
26,0.123335749176,0.107882448518
26,0.126419142906,0.101715661059
26,0.129502536635,0.095548873600
26,0.132585930365,0.089382086141
26,0.135669324094,0.083215298682
26,0.138752717823,0.077048511223
26,0.141836111553,0.071429578310
26,0.144919505282,0.066033639284
26,0.148002899012,0.060637700257
26,0.151086292741,0.055241761231
26,0.154169686470,0.049845822204
26,0.157253080200,0.044463148420
26,0.160336473929,0.039838057825
26,0.163419867659,0.035212967231
26,0.166503261388,0.030587876637
26,0.169586655117,0.025962786043
26,0.172670048847,0.022029264631
26,0.175753442576,0.018175022469
26,0.178836836306,0.014320780307
26,0.181920230035,0.011166917543
26,0.185003623764,0.008083523814
26,0.188087017494,0.005517886987
26,0.191170411223,0.003205341690
26,0.194253804953,0.001611648014
26,0.197337198682,0.000481114737
26,0.200420592411,0.000000000000
26,0.200850401552,0.000000000000
26,0.203503986141,0.000305758408
26,0.206587379870,0.001503140995
26,0.209670773600,0.003800983249
26,0.212754167329,0.007377333772
26,0.215837561059,0.012562450181
26,0.218920954788,0.019621184072
26,0.222004348517,0.029084719105
26,0.225087742247,0.041497252433
26,0.228171135976,0.057775521258
26,0.231254529706,0.079192537781
26,0.234337923435,0.107965216570
26,0.237421317164,0.144486902754
26,0.240504710894,0.181487627507
26,0.243588104623,0.218488352260
26,0.246671498353,0.255489077013
28,0.000000000000,0.454183011855
28,0.003077977696,0.441871101070
28,0.006155955392,0.429559190285
28,0.009233933089,0.417247279500
28,0.012311910785,0.405652240921
28,0.015389888481,0.394647547843
28,0.018467866177,0.383874625907
28,0.021545843873,0.373706907876
28,0.024623821569,0.363703480363
28,0.027701799266,0.353700052850
28,0.030779776962,0.344281902124
28,0.033857754658,0.335047969036
28,0.036935732354,0.325814035947
28,0.040013710050,0.316580102859
28,0.043091687746,0.307369877586
28,0.046169665443,0.298905438921
28,0.049247643139,0.290441000257
28,0.052325620835,0.281976561592
28,0.055403598531,0.273512122928
28,0.058481576227,0.265047684263
28,0.061559553924,0.256583245599
28,0.064637531620,0.248228075088
28,0.067715509316,0.240533130848
28,0.070793487012,0.232838186607
28,0.073871464708,0.225143242367
28,0.076949442404,0.217448298126
28,0.080027420101,0.209753353886
28,0.083105397797,0.202058409646
28,0.086183375493,0.194363465405
28,0.089261353189,0.186668521165
28,0.092339330885,0.179327710101
28,0.095417308581,0.172402260285
28,0.098495286278,0.165476810468
28,0.101573263974,0.158551360652
28,0.104651241670,0.151625910836
28,0.107729219366,0.144700461019
