m,alpha,I_m
24,0.042020070077757,0.304114101525010
24,0.044491838905860,0.296945971923510
24,0.046963607733963,0.289777842322011
24,0.049435376562067,0.282848953132821
24,0.051907145390170,0.275928000414132
24,0.054378914218273,0.269007047695443
24,0.056850683046377,0.262317573480093
24,0.059322451874480,0.255643797644214
24,0.061794220702583,0.248970021808335
24,0.064265989530687,0.242431406651844
24,0.066737758358790,0.236004807698775
24,0.069209527186893,0.229578208745707
24,0.071681296014997,0.223151609792638
24,0.074153064843100,0.216932055178899
24,0.076624833671203,0.210752633108641
24,0.079096602499307,0.204573211038382
24,0.081568371327410,0.198393788968124
24,0.084040140155513,0.192431464981594
24,0.086511908983617,0.186499219794146
24,0.088983677811720,0.180566974606698
24,0.091455446639823,0.174634729419250
24,0.093927215467927,0.168891603121943
24,0.096398984296030,0.163206534817306
24,0.098870753124134,0.157521466512668
24,0.101342521952237,0.151836398208030
24,0.103814290780340,0.146302403097969
24,0.106286059608444,0.140864511676141
24,0.108757828436547,0.135426620254314
24,0.111229597264650,0.129988728832487
24,0.113701366092754,0.124682365996476
24,0.116173134920857,0.119491651457459
24,0.118644903748960,0.114300936918442
24,0.121116672577064,0.109110222379425
24,0.123588441405167,0.104075461819299
24,0.126060210233270,0.099131924163093
24,0.128531979061374,0.094188386506886
24,0.131003747889477,0.089244848850679
24,0.133475516717580,0.084545210738232
24,0.135947285545684,0.079848849964836
24,0.138419054373787,0.075152489191440
24,0.140890823201890,0.070616623069477
24,0.143362592029994,0.066167439178891
24,0.145834360858097,0.061718255288305
24,0.148306129686200,0.057427240020383
24,0.150777898514304,0.053225233012608
24,0.153249667342407,0.049023226004832
24,0.155721436170510,0.045057601585040
24,0.158193204998614,0.041102771460074
24,0.160664973826717,0.037291302078869
24,0.163136742654820,0.033583648836714
24,0.165608511482924,0.029995312711046
24,0.168080280311027,0.026534836351701
24,0.170552049139130,0.023230655411478
24,0.173023817967234,0.020017355934944
24,0.175495586795337,0.017050355932190
24,0.177967355623440,0.014218921983755
24,0.180439124451544,0.011561966195899
24,0.182910893279647,0.009112651794490
24,0.185382662107750,0.006899266744762
24,0.187854430935854,0.004946012154102
24,0.190326199763957,0.003273683717043
24,0.192797968592060,0.001900245104384
24,0.195269737420164,0.000852024646247
24,0.197741506248267,0.000214160538794
24,0.200125717625625,-0.000000000000000
24,0.200213275076370,-0.000000000000000
24,0.202685043904474,0.000270442273344
24,0.205156812732577,0.001089892161315
24,0.207628581560680,0.002554543070740
24,0.210100350388784,0.004736023800466
24,0.212572119216887,0.007763928024028
24,0.215043888044990,0.011750605004326
24,0.217515656873094,0.016869628260869
24,0.219987425701197,0.023314423932570
24,0.222459194529300,0.031328298597384
24,0.224930963357404,0.041221302723997
24,0.227402732185507,0.053402472234549
24,0.229874501013610,0.068424588835000
24,0.232346269841714,0.087091596508738
24,0.234818038669817,0.110662536526268
24,0.237289807497920,0.139702102895994
24,0.239761576326024,0.169363328833233
24,0.242233345154127,0.199024554770473
24,0.244705113982230,0.228685780707714
24,0.247176882810334,0.258347006644954
28,0.000000000000000,0.461784979287446
28,0.002462382156941,0.446659439619933
28,0.004924764313881,0.435063977715347
28,0.007387146470822,0.424650313474119
28,0.009849528627762,0.414929367614906
28,0.012311910784703,0.405694857356730
28,0.014774292941643,0.396802132230525
28,0.017236675098584,0.388210451193842
28,0.019699057255524,0.379838351860244
28,0.022161439412465,0.371707247947754
28,0.024623821569405,0.363733969368798
28,0.027086203726346,0.355854346466588
28,0.029548585883286,0.348216968148787
28,0.032010968040227,0.340588328889069
28,0.034473350197167,0.333201182418248
28,0.036935732354108,0.325814035947426
28,0.039398114511048,0.318592827317720
28,0.041860496667989,0.311451919062593
28,0.044322878824930,0.304311010807465
28,0.046785260981870,0.297392267078542
28,0.049247643138811,0.290497597039109
28,0.051710025295751,0.283602926999675
28,0.054172407452692,0.276874802796521
28,0.056634789609632,0.270226370972781
28,0.059097171766573,0.263577939149042
28,0.061559553923513,0.256929507325302
28,0.064021936080454,0.250526990697548
28,0.066484318237394,0.244124797089503
28,0.068946700394335,0.237722603481457
28,0.071409082551275,0.231320409873412
28,0.073871464708216,0.225143242366922
28,0.076333846865156,0.218987286974571
28,0.078796229022097,0.212831331582219
28,0.081258611179037,0.206675376189868
28,0.083720993335978,0.200646094444792
28,0.086183375492919,0.194736377268135
28,0.088645757649859,0.188826660091477
28,0.091108139806800,0.182916942914820
28,0.093570521963740,0.177007225738163
28,0.096032904120681,0.171327879582945
28,0.098495286277621,0.165664400621982
28,0.100957668434562,0.160000921661018
28,0.103420050591502,0.154337442700055
28,0.105882432748443,0.148756964628133
28,0.108344814905383,0.143339723882864
28,0.110807197062324,0.137922483137595
28,0.113269579219264,0.132505242392326
28,0.115731961376205,0.127088001647056
28,0.118194343533145,0.121886862540188
28,0.120656725690086,0.116715860010613
28,0.123119107847026,0.111544857481038
28,0.125581490003967,0.106373854951463
28,0.128043872160908,0.101372606094858
28,0.130506254317848,0.096447841780977
28,0.132968636474789,0.091523077467096
28,0.135431018631729,0.086598313153215
28,0.137893400788670,0.081885812258656
28,0.140355782945610,0.077207286160469
28,0.142818165102551,0.072528760062282
28,0.145280547259491,0.067958299724850
28,0.147742929416432,0.063526011842357
28,0.150205311573372,0.059093723959864
28,0.152667693730313,0.054765752969347
28,0.155130075887253,0.050579703302549
28,0.157592458044194,0.046393653635750
28,0.160054840201134,0.042402707533933
28,0.162517222358075,0.038462896082828
28,0.164979604515015,0.034647540568622
28,0.167441986671956,0.030953967333211
28,0.169904368828897,0.027387854922295
28,0.172366750985837,0.023940519902578
28,0.174829133142778,0.020686310496451
28,0.177291515299718,0.017550449199204
28,0.179753897456659,0.014595590610875
28,0.182216279613599,0.011868383793840
28,0.184678661770540,0.009340444208767
28,0.187141043927480,0.007042682726211
28,0.189603426084421,0.005001164969015
28,0.192065808241361,0.003249580563898
28,0.194528190398302,0.001851053987904
28,0.196990572555242,0.000788190529073
28,0.199452954712183,0.000162101550347
28,0.201471562577608,-0.000000000000000
28,0.201915336869123,-0.000000000000000
28,0.204377719026064,0.000381185407923
28,0.206840101183004,0.001370614705563
28,0.209302483339945,0.003071360081655
